ID,Title,Price,Description
12,Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go / WINDOWS 11 PRO,"785,000 DT","‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - WINDOWS 11 PRO - Garantie 1 an"
13,Pc Portable HP 15-FD0028NK / 8 Go / Gold / Windows 11,"789,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an"
14,Pc Portable HP 15-fd0030nk / 8 Go / Windows 11 / Gris,"789,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
15,Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu,"789,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
16,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 4 GO / WINDOWS 11,"789,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an"
17,Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu AVEC SACOCHE OFFERTE,"799,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
18,"Pc Portable HP 15-fd0030nk / 8 Go / Windows 11 / Gris Avec Sac pour Pc Portable 15.6"" Noir","799,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an Avec Sac pour Pc Portable 15.6"" Noir"
19,PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Bleu / Windows 11 + Sacoche Lenovo T210 Offerte,"799,000 DT","Écran 15.6"" HD (1366 x 768), Antireflet - Processeur Intel Celeron N4020, (jusqu'à 2.80 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 256 Go NVMe - Carte graphique Intel UHD 600 intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W - Caméra HD 720p - Wi-Fi 6 - Bluetooth 5.1 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - Couleur Bleu abysse - Windows 11 - Garantie 2 ans+ Sacoche Lenovo T210 Offerte"
20,PC Portable Lenovo IdeaPad 1 15IGL7 / Intel Celeron N4020 / 8 Go / 256 Go SSD / Gris / Windows 11 + Sacoche Lenovo T210 Offerte,"799,000 DT","Écran 15.6"" HD (1366 x 768), Antireflet - Processeur Intel Celeron N4020, (jusqu'à 2.80 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 256 Go NVMe - Carte graphique Intel UHD 600 intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W - Caméra HD 720p - Wi-Fi 6 - Bluetooth 5.1 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - Couleur Gris Nuage - Windows 11 - Garantie 2 ans + Sacoche Lenovo T210 Offerte"
21,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 4 GO / WINDOWS 11 + SACOCHE OFFERTE,"799,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an
+ SACOCHE OFFERTE"
